,,,,,,,,,,,,,,,,,52711,Coworker orientation,LGB coworkers,,,,,,,,,
,1028,,,,,,,Hypothesis 2a,"Among lesbian, gay, and bisexual (LGB)employees who have not disclosed, or not fully disclosed, those who lack supportive supervisors will fear more negative consequences of full disclosure than those who have supportive supervisors.",Lesbian,gay,bisexual,LGB,"employees who have not disclosed, or not fully disclosed",supportive supervisors,fear more negative consequences of full disclosure,52711,Coworker orientation,Lesbian,Moderating,2436,2451,2434,True,1.00E-03,Has effect,,
,,,,,,,,,,supportive supervisors,,,,,,,52711,Coworker orientation,gay,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,bisexual,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,LGB,,,,,,,,,
,,,,,,,,,,,,,,,,,2451,Degree of disclosure of sexual orientation in the workplace,"employees who have not disclosed, or not fully disclosed",,,,,,,,,
,,,,,,,,,,,,,,,,,2436,Supportive supervisor,supportive supervisors,,,,,,,,,
,,,,,,,,,,,,,,,,,2434,Fear of disclosure,fear more negative consequences of full disclosure,,,,,,,,,
,,,,,,,,,,,,,,,,,2436,Supportive supervisor,supportive supervisors,,,,,,,,,
,1028,,,,,,,Hypothesis 2b,"Among lesbian, gay, and bisexual (LGB)employees who have not disclosed, or not fully disclosed, those who lack supportive  coworkers will fear more negative consequences of full disclosure than those who have supportive coworkers.",Lesbian,gay,bisexual,LGB,"have not disclosed, or not fully disclosed",supportive coworkers,fear more negative consequences of full disclosure,52711,Coworker orientation,Lesbian,Moderating,52717,2451,2434,True,1.00E-03,Has effect,,
,,,,,,,,,,supportive coworkers,,,,,,,52711,Coworker orientation,gay,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,bisexual,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,LGB,,,,,,,,,
,,,,,,,,,,,,,,,,,2451,Degree of disclosure of sexual orientation in the workplace,"have not disclosed, or not fully disclosed",,,,,,,,,
,,,,,,,,,,,,,,,,,52717,Supportive coworker,supportive coworkers,,,,,,,,,
,,,,,,,,,,,,,,,,,2434,Fear of disclosure,fear more negative consequences of full disclosure,,,,,,,,,
,,,,,,,,,,,,,,,,,52717,Supportive coworker,supportive coworkers,,,,,,,,,
,1028,,,,,,,Hypothesis 2c,"Lesbian, gay, and bisexual (LGB)employees who lack supportive supervisors will disclose to a lesser extent than LGB employees who have supportive supervisors.",Lesbian,gay,bisexual,LGB,supportive supervisors,disclose,LGB employees,52711,Coworker orientation,Lesbian,Regular,2436,,2451,True,0.05,Has effect,,
,,,,,,,,,,supportive supervisors,,,,,,,52711,Coworker orientation,gay,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,bisexual,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,LGB,,,,,,,,,
,,,,,,,,,,,,,,,,,2436,Supportive supervisor,supportive supervisors,,,,,,,,,
,,,,,,,,,,,,,,,,,2451,Degree of disclosure of sexual orientation in the workplace,disclose,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,LGB employees,,,,,,,,,
,,,,,,,,,,,,,,,,,2436,Supportive supervisor,supportive supervisors,,,,,,,,,
,1028,,,,,,,Hypothesis 2d,"Lesbian, gay, and bisexual (LGB)employees who lack supportive coworkers will disclose to a lesser extent than LGB employees who have supportive coworkers.",Lesbian,gay,bisexual,LGB,supportive coworkers,disclose,LGB employees,52711,Coworker orientation,Lesbian,Regular,52717,,2451,True,1.00E-03,Has effect,,
,,,,,,,,,,supportive coworkers,,,,,,,52711,Coworker orientation,gay,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,bisexual,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,LGB,,,,,,,,,
,,,,,,,,,,,,,,,,,52717,Supportive coworker,supportive coworkers,,,,,,,,,
,,,,,,,,,,,,,,,,,2451,Degree of disclosure of sexual orientation in the workplace,disclose,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,LGB employees,,,,,,,,,
,,,,,,,,,,,,,,,,,52717,Supportive coworker,supportive coworkers,,,,,,,,,
,1028,,,,,,,Hypothesis 3a,"Among lesbian, gay, and bisexual (LGB) employees who have not disclosed, or not fully disclosed, those who perceive that they encountered sexual orientation discrimination in past positions will fear more negative consequences of full disclosure than those who do not hold such perceptions.",Lesbian,gay,bisexual,LGB,"employees who have not disclosed, or not fully disclosed,",sexual orientation discrimination,fear more negative consequences of full disclosure,52711,Coworker orientation,Lesbian,Moderating,2435,2451,2434,True,1.00E-03,Has effect,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,gay,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,bisexual,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,LGB,,,,,,,,,
,,,,,,,,,,,,,,,,,2451,Degree of disclosure of sexual orientation in the workplace,"employees who have not disclosed, or not fully disclosed,",,,,,,,,,
,,,,,,,,,,,,,,,,,2435,Perceptions of past discrimination,sexual orientation discrimination,,,,,,,,,
,,,,,,,,,,,,,,,,,2434,Fear of disclosure,fear more negative consequences of full disclosure,,,,,,,,,
,1028,,,,,,,Hypothesis 3b,"Lesbian, gay, and bisexual (LGB)employees who perceived sexual orientation discrimination in past positions will disclose to a lesser extent in their current position than LGB employees who do not hold such perceptions.",Lesbian,gay,bisexual,LGB,perceived sexual orientation discrimination in past positions,disclose,LGB employees,52711,Coworker orientation,Lesbian,Regular,2435,,2451,False,,Has effect,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,gay,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,bisexual,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,LGB,,,,,,,,,
,,,,,,,,,,,,,,,,,2435,Perceptions of past discrimination,perceived sexual orientation discrimination in past positions,,,,,,,,,
,,,,,,,,,,,,,,,,,2451,Degree of disclosure of sexual orientation in the workplace,disclose,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,LGB employees,,,,,,,,,
,1028,,,,,,,Hypothesis 4,"Among lesbian, gay, and bisexual (LGB)employees who have not disclosed, or not fully disclosed, those who fear more negative consequences of full disclosure will report greater psychological strain at work, and less positive work and career attitudes, work environments, and career outcomes, than those who fear fewer negative consequences of disclosure.",Lesbian,gay,bisexual,LGB,"employees who have not disclosed, or not fully disclosed,",psychological strain,career attitudes,52711,Coworker orientation,Lesbian,Regular,2434,,2441,True,1.00E-03,Has effect,,
,,,,,,,,,,work environments,career outcomes,consequences of disclosure,,,,,52711,Coworker orientation,gay,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,bisexual,,,,,,,,,
,,,,,,,,,,,,,,,,,52711,Coworker orientation,LGB,,,,,,,,,
,,,,,,,,,,,,,,,,,2451,Degree of disclosure of sexual orientation in the workplace,"employees who have not disclosed, or not fully disclosed,",,,,,,,,,
,,,,,,,,,,,,,,,,,2449,Somatic complaints,psychological strain,,,,,,,,,
,,,,,,,,,,,,,,,,,2444,Career commitment,career attitudes,,,,,,,,,
,,,,,,,,,,,,,,,,,2443,Satisfaction with opportunities for promotion,career attitudes,,,,,,,,,
,,,,,,,,,,,,,,,,,2442,Organizational commitment,career attitudes,,,,,,,,,
,,,,,,,,,,,,,,,,,52713,Role ambiguity ,work environments,,,,,,,,,
,,,,,,,,,,,,,,,,,2446,Workplace participation,work environments,,,,,,,,,
,,,,,,,,,,,,,,,,,2447,Role conflict,work environments,,,,,,,,,
,1028,,,,,,,,,,,,,,,,2444,Career commitment,career outcomes,Regular,2434,,2442,True,1.00E-03,Has effect,,
,1028,,,,,,,,,,,,,,,,2451,Degree of disclosure of sexual orientation in the workplace,consequences of disclosure,Regular,2434,,2443,True,1.00E-03,Has effect,,
,1028,,,,,,,,,,,,,,,,,,,Regular,2434,,2444,True,1.00E-03,Has effect,,
,1028,,,,,,,,,,,,,,,,,,,Regular,2434,,2445,True,1.00E-03,Has effect,,
,1028,,,,,,,,,,,,,,,,,,,Regular,2434,,2446,True,1.00E-03,Has effect,,
,1028,,,,,,,,,,,,,,,,,,,Regular,2434,,2447,True,0.05,Has effect,,
,1028,,,,,,,,,,,,,,,,,,,Regular,2434,,2448,True,1.00E-03,Has effect,,
,1028,,,,,,,,,,,,,,,,,,,Regular,2434,,2449,True,1.00E-03,Has effect,,
,1028,,,,,,,,,,,,,,,,,,,Regular,2434,,2450,True,1.00E-03,Has effect,,
,1028,,,,,,,,,,,,,,,,,,,Regular,2434,,52713,True,1.00E-03,Has effect,,
,1028,,,,,,,,,,,,,,,,,,,Regular,2434,,52714,True,1.00E-03,Has effect,,
,1028,,,,,,,,,,,,,,,,,,,Regular,2434,,52715,True,1.00E-03,Has effect,,
,1028,,,,,,,,,,,,,,,,,,,Regular,2434,,52716,True,1.00E-03,Has effect,,
,1031,,,Lauren K.,Leslie,Jocelyn,,Hypothesis 1,Transformational leadership positively influences team performance through the mediating effect of team potency.,Transformational leadership, team performance,team potency,,,,,2367,Transformational leadership,Transformational leadership,Mediating,2367,2370,2372,True,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,2372,Team performance, team performance,,,,,,,,,
,,,,,,,,,,,,,,,,,2370,Team potency,team potency,,,,,,,,,
,1031,,,,,,,Hypothesis 2,"The positive direct effect of transformational leadership on team potency is moderated by team power distance. The higher the power distance, the stronger the positive association between transformational leadership and team potency.",transformational leadership,team potency ,power distance,power distance,transformational leadership,team potency ,,2367,Transformational leadership,transformational leadership,Moderating,2367,2371,2370,True,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,2370,Team potency,team potency ,,,,,,,,,
,,,,,,,,,,,,,,,,,2371,Power distance,power distance,,,,,,,,,
,,,,,,,,,,,,,,,,,2371,Power distance,power distance,,,,,,,,,
,,,,,,,,,,,,,,,,,2367,Transformational leadership,transformational leadership,,,,,,,,,
,,,,,,,,,,,,,,,,,2370,Team potency,team potency ,,,,,,,,,
,1031,,,,,,,Hypothesis 3,"The positive direct effect of transformational leadership on team potency is moderated by team collectivism. The higher the collectivism, the stronger the positive association between transformational leadership and team potency.",transformational leadership,team potency,team collectivism,collectivism,transformational leadership,team potency,,2367,Transformational leadership,transformational leadership,Moderating,2367,2369,2370,True,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,2370,Team potency,team potency,,,,,,,,,
,,,,,,,,,,,,,,,,,2369,Collectivism,team collectivism,,,,,,,,,
,,,,,,,,,,,,,,,,,2369,Collectivism,collectivism,,,,,,,,,
,,,,,,,,,,,,,,,,,2367,Transformational leadership,transformational leadership,,,,,,,,,
,,,,,,,,,,,,,,,,,2370,Team potency,team potency,,,,,,,,,
,1032,,,,,,,Hypothesis 1,"When all else is equivalent between the goals in conflict, greater time will be allocated to the goal with the largest discrepancy.",time,largest discrepancy,,,,,,52767,Time remaining,time,,,,,,,Positive,,
,,,,,,,,,,,,,,,,,52754,Referent task discrepancy,discrepancy,,,,,,,,,
,,,,,,,,,,,,,,,,,52755,Non-referent task discrepancy,discrepancy,,,,,,,,,
,1032,,,Lauren K.,Leslie,Connor (on JingJing's list),,Hypothesis 2,"With an external incentive associated with only one of the goals in conflict, (a) progress toward the goal associated with the incentive will have a larger influence on resource allocation than will progress toward the alternative goal, (b) resulting in greater time allocated to the pursuit of the goal associated with the incentive, (c) with little switching between tasks.",external incentive,goals in conflict,goal,incentive,alternative goal,time allocated to the pursuit of the goal,incentive,,,external incentive,,,,,,,Has effect,All goal-related variables do not exist in INN,
,,,,,,,,,,,,,,,,,,,goals in conflict,,,,,,,,,
,,,,,,,,,,,,,,,,,,,goal,,,,,,,,,
,,,,,,,,,,,,,,,,,2378,Approach-framed incentive,incentive,,,,,,,,,
,,,,,,,,,,,,,,,,,2379,Avoidance-framed incentive,incentive,,,,,,,,,
,,,,,,,,,,,,,,,,,52756,No incentive,incentive,,,,,,,,,
,,,,,,,,,,,,,,,,,,,alternative goal,,,,,,,,,
,,,,,,,,,,,,,,,,,52739,Resource allocation,time allocated to the pursuit of the goal,,,,,,,,,
,1032,,,,,,,,,,,,,,,,2378,Approach-framed incentive,incentive,,,,,,,,,
,1032,,,,,,,,,,,,,,,,2379,Avoidance-framed incentive,incentive,,,,,,,,,
,,,,,,,,,,,,,,,,,52756,No incentive,incentive,,,,,,,,,
,1032,,,,,,,Hypothesis 3,"With two competing goals associated with an approach-framed incentive and an avoidance-framed incentive, respectively, (a) progress toward the goal associated with the avoidance-framed incentive will have a larger influence on resource allocation than will progress toward the alternative goal, (b) resulting in greater time allocated to the pursuit of the goal associated with the avoidance-framed incentive.",two competing goals,approach-framed incentive,avoidance-framed incentive,progress,avoidance-framed incentive,resource allocation,progress,,,two competing goals,,,,,,,Positive,,
,1032,,,,,,,,,alternative goal,greater time allocated,pursuit of the goal associated with the avoidance-framed incentive,,,,,2378,Approach-framed incentive,approach-framed incentive,,,,,,,,,
,,,,,,,,,,,,,,,,,2379,Avoidance-framed incentive,avoidance-framed incentive,,,,,,,,,
,,,,,,,,,,,,,,,,,,,progress,,,,,,,,,
,,,,,,,,,,,,,,,,,2379,Avoidance-framed incentive,avoidance-framed incentive,,,,,,,,,
,,,,,,,,,,,,,,,,,52739,Resource allocation,resource allocation,,,,,,,,,
,,,,,,,,,,,,,,,,,,,progress,,,,,,,,,
,,,,,,,,,,,,,,,,,,,alternative goal,,,,,,,,,
,,,,,,,,,,,,,,,,,52739,Resource allocation,greater time allocated,,,,,,,,,
,,,,,,,,,,,,,,,,,2379,Avoidance-framed incentive,pursuit of the goal associated with the avoidance-framed incentive,,,,,,,,,
,1032,,,,,,,Hypothesis 4,"The relationship between relative discrepancies and prioritization will be moderated by the amount of time remaining to pursue the goals. Specifically, collapsed across condition, the tendency to allocate more time to the most discrepant goal is expected to reverse as the deadline for goal completion nears.",relative discrepancies,prioritization,amount of time remaining to pursue the goals,allocate more time,most discrepant goal,deadline for goal completion nears,,52754,Referent task discrepancy,relative discrepancies,,,,,,,Has effect,,
,,,,,,,,,,,,,,,,,52755,Non-referent task discrepancy,relative discrepancies,,,,,,,,,
,,,,,,,,,,,,,,,,,52739,Resource allocation,prioritization,,,,,,,,,
,,,,,,,,,,,,,,,,,52767,Time remaining,amount of time remaining to pursue the goals,,,,,,,,,
,,,,,,,,,,,,,,,,,52739,Resource allocation,allocate more time,,,,,,,,,
,,,,,,,,,,,,,,,,,52754,Referent task discrepancy,most discrepant goal,,,,,,,,,
,,,,,,,,,,,,,,,,,52755,Non-referent task discrepancy,most discrepant goal,,,,,,,,,
,,,,,,,,,,,,,,,,,52767,Time remaining,deadline for goal completion nears,,,,,,,,,
,1033,,,Lauren K.,Leslie,Jocelyn,,Hypothesis 1,"Workload will be positively related and autonomy will be negatively related to musculoskeletal disorders (MSDs)of the upper body, lower back, arms, and hands.",Workload,autonomy,musculoskeletal disorders,MSDs,upper body,lower back,arms,2380,Workload,Workload,Regular,2380,,52769,True,0.05,Positive,,
,,,,,,,,,,hands,,,,,,,2383,Autonomy,autonomy,,,,,,,,,
,1033,,,,,,,,,,,,,,,,52769,Upper body,musculoskeletal disorders,Regular,2380,,52770,True,0.05,Positive,,
,1033,,,,,,,,,,,,,,,,52770,Lower back,musculoskeletal disorders,Regular,2380,,52771,True,0.05,Positive,,
,1033,,,,,,,,,,,,,,,,52771,Arms ,musculoskeletal disorders,Regular,2383,,52769,True,0.05,Negative,,
,1033,,,,,,,,,,,,,,,,52769,Upper body,MSDs,Regular,2383,,52770,True,0.05,Negative,,
,1033,,,,,,,,,,,,,,,,52770,Lower back,MSDs,Regular,2383,,52771,True,0.05,Negative,,
,,,,,,,,,,,,,,,,,52771,Arms ,MSDs,,,,,,,,,
,,,,,,,,,,,,,,,,,52769,Upper body,upper body,,,,,,,,,
,,,,,,,,,,,,,,,,,52770,Lower back,lower back,,,,,,,,,
,,,,,,,,,,,,,,,,,52771,Arms ,arms,,,,,,,,,
,,,,,,,,,,,,,,,,,52771,Arms ,hands,,,,,,,,,
,1033,,,,,,,Hypothesis 2,"Psychological strain will mediate the relationships of workload and autonomy with musculoskeletal disorders (MSDs) of the upper body and lower back, but not the relationship with MSDs of the arms and hands.",Psychological strain,workload,autonomy,musculoskeletal disorders ,MSDs,upper body,lower back,2381,Job related anxiety,Psychological strain,Moderating,2380,2381,52769,True,1.00E-03,Has effect,,
,1033,,,,,,,,,MSDs of the arms and hands,,,,,,,2382,Job related depression,Psychological strain,Moderating,2380,2381,52770,True,1.00E-03,Has effect,,
,1033,,,,,,,,,,,,,,,,2380,Workload,workload,Moderating,2380,2381,52771,True,1.00E-03,Has effect,,
,1033,,,,,,,,,,,,,,,,2383,Autonomy,autonomy,Moderating,2380,2382,52769,True,1.00E-03,Has effect,,
,1033,,,,,,,,,,,,,,,,52769,Upper body,musculoskeletal disorders ,Moderating,2380,2382,52770,True,1.00E-03,Has effect,,
,1033,,,,,,,,,,,,,,,,52770,Lower back,musculoskeletal disorders ,Moderating,2380,2382,52771,True,1.00E-03,Has effect,,
,1033,,,,,,,,,,,,,,,,52771,Arms ,musculoskeletal disorders ,Moderating,2383,2382,52769,True,1.00E-03,Has effect,,
,1033,,,,,,,,,,,,,,,,52769,Upper body,MSDs,Moderating,2383,2382,52770,True,1.00E-03,Has effect,,
,1033,,,,,,,,,,,,,,,,52770,Lower back,MSDs,Moderating,2383,2382,52771,True,1.00E-03,Has effect,,
,1033,,,,,,,,,,,,,,,,52771,Arms ,MSDs,Moderating,2383,2381,52769,True,1.00E-03,Has effect,,
,1033,,,,,,,,,,,,,,,,52769,Upper body,upper body,Moderating,2383,2381,52770,True,1.00E-03,Has effect,,
,1033,,,,,,,,,,,,,,,,52770,Lower back,lower back,Moderating,2383,2381,52771,True,1.00E-03,Has effect,,
,,,,,,,,,,,,,,,,,52771,Arms ,MSDs of the arms and hands,,,,,,,,,
,1033,,,,,,,Hypothesis 3,"Autonomy will moderate the relationships of workload with strain and musculoskeletal disorders (MSDs), such that the lower the level of autonomy is, the stronger will be the relationships of workload with strain and MSDs.",Autonomy,workload ,strain ,musculoskeletal disorders,MSDs,autonomy,workload,2383,Autonomy,Autonomy,Moderating,2380,2383,52769,False,,Negative,,
,1033,,,,,,,,,strain,MSDs,,,,,,2380,Workload,workload ,Moderating,2380,2383,52770,False,,Negative,,
,1033,,,,,,,,,,,,,,,,2381,Job related anxiety,strain ,Moderating,2380,2383,52771,False,,Negative,,
,,,,,,,,,,,,,,,,,2382,Job related depression,strain ,,,,,,,,,
,,,,,,,,,,,,,,,,,52769,Upper body,musculoskeletal disorders,,,,,,,,,
,,,,,,,,,,,,,,,,,52770,Lower back,musculoskeletal disorders,,,,,,,,,
,,,,,,,,,,,,,,,,,52771,Arms ,musculoskeletal disorders,,,,,,,,,
,,,,,,,,,,,,,,,,,52769,Upper body,MSDs,,,,,,,,,
,,,,,,,,,,,,,,,,,52770,Lower back,MSDs,,,,,,,,,
,,,,,,,,,,,,,,,,,52771,Arms ,MSDs,,,,,,,,,
,,,,,,,,,,,,,,,,,2383,Autonomy,autonomy,,,,,,,,,
,,,,,,,,,,,,,,,,,2380,Workload,workload,,,,,,,,,
,,,,,,,,,,,,,,,,,2381,Job related anxiety,strain ,,,,,,,,,
,,,,,,,,,,,,,,,,,2382,Job related depression,strain ,,,,,,,,,
,,,,,,,,,,,,,,,,,52769,Upper body,MSDs,,,,,,,,,
,,,,,,,,,,,,,,,,,52770,Lower back,MSDs,,,,,,,,,
,,,,,,,,,,,,,,,,,52771,Arms ,MSDs,,,,,,,,,
,1034,,,Lauren K.,Leslie,Connor,,Hypothesis 1,The use of high-performance work systems (HPWS )is positively related to the level of collective human capital among employees.,high-performance work systems,HPWS,level of collective human capital among employees,,,,,2384,Employee-rated,high-performance work systems,Regular,2384,,2386,TRUE,0.01,Positive,,
,1034,,,,,,,,,,,,,,,,52789,Manager-rated,high-performance work systems,Regular,52789,,2386,TRUE,0.01,Positive,,
,,,,,,,,,,,,,,,,,2384,Employee-rated,HPWS,,,,,,,,,
,,,,,,,,,,,,,,,,,52789,Manager-rated,HPWS,,,,,,,,,
,,,,,,,,,,,,,,,,,2386,Collective human capital ,level of collective human capital among employees, ,,,,,,,,
,1034,,,,,,,Hypothesis 2,The level of collective human capital is positively related to overall establishment performance., level of collective human capital,overall establishment performance,,,,,,2386,Collective human capital , level of collective human capital,Regular,2386,,2387,TRUE,0.05,Positive,,
,,,,,,,,,,,,,,,,,2387,Relative establishment performance,overall establishment performance, ,,,,,,,,
,1034,,,,,,,Hypothesis 3,The use of high-performance work systems (HPWS) is positively related to a high degree of social exchange within an establishment.,high-performance work systems,HPWS,degree of social exchange within an establishment,,,,,2384,Employee-rated,high-performance work systems, ,2384,,52790,TRUE,0.01,Positive,,
,1034,,,,,,,,,,,,,,,,52789,Manager-rated,high-performance work systems, ,52789,,52790,TRUE,0.05,Positive,,
,,,,,,,,,,,,,,,,,2384,Employee-rated,HPWS,,,,,,,,,
,,,,,,,,,,,,,,,,,52789,Manager-rated,HPWS,,,,,,,,,
,,,,,,,,,,,,,,,,,52790,Degree of establishment of social exchange,degree of social exchange within an establishment,,,,,,,,,
,1034,,,,,,,Hypothesis 4,The degree of social exchange in an establishment is positively related to the establishment’s overall performance.,The degree of social exchange ,establishment’s overall performance,,,,,,52790,Degree of establishment of social exchange,The degree of social exchange ,,52790,,2387,TRUE,0.05,Positive,,
,,,,,,,,,,,,,,,,,2387,Relative establishment performance,establishment’s overall performance, ,,,,,,,,
,1034,,,,,,,Hypothesis 5,The collective human capital and the degree of social exchange in an establishment will mediate the relationship between high-performance work systems (HPWS) and the establishment’s performance.,collective human capital,degree of social exchange in an establishment ,high-performance work systems,HPWS,establishment’s performance,,,2386,Collective human capital ,collective human capital,,52789,2386,2387,TRUE,0.01,Has effect,,
,1034,,,,,,,,,,,,,,,,52790,Degree of establishment of social exchange,degree of social exchange in an establishment ,,52789,52790,2387,TRUE,0.05,Has effect,,
,1034,,,,,,,,,,,,,,,,2384,Employee-rated,high-performance work systems,,2384,2386,2387,TRUE,0.01,Has effect,,
,1034,,,,,,,,,,,,,,,,52789,Manager-rated,high-performance work systems,,2384,52790,2387,TRUE,0.05,Has effect,,
,,,,,,,,,,,,,,,,,2384,Employee-rated,HPWS,,,,,,,,,
,,,,,,,,,,,,,,,,,52789,Manager-rated,HPWS,,,,,,,,,
,,,,,,,,,,,,,,,,,2387,Relative establishment performance,establishment’s performance, ,,,,,,,,
,1035,,,Lauren K.,Leslie,Jocelyn,,Hypothesis 1a,Employee-level perceived organizational support (POS) will be positively related to service quality.,Employee-level perceived organizational support,POS,service quality,,,,,52798,Perceived Organizational Support,Employee-level perceived organizational support,Regular,52798,,2393,partial,0.05,Positive,,
,,,,,,,,,,,,,,,,,52798,Perceived Organizational Support,POS,,52798,,52806,partial,,,,
,,,,,,,,,,,,,,,,,2393,Self-presentation,service quality,,,,,,,,,
,,,,,,,,,,,,,,,,,52806,Helping behavior,service quality,,,,,,,,,
,1035,,,,,,,Hypothesis 1b,Unit-level perceived organizational support (POS) will be positively related to service quality after controlling for employee-level POS,Unit-level perceived organizational support,POS,service quality,employee-level POS.,,,,52798,Perceived Organizational Support,Unit-level perceived organizational support,Moderating,52798,,2393,partial,0.05,Positive,,
,,,,,,,,,,,,,,,,,52798,Perceived Organizational Support,POS,,52798,,52806,partial,,,,
,,,,,,,,,,,,,,,,,2393,Self-presentation,service quality,,,,,,,,,
,,,,,,,,,,,,,,,,,52806,Helping behavior,service quality,,,,,,,,,
,,,,,,,,,,,,,,,,,52798,Perceived Organizational Support,employee-level POS.,,,,,,,,,
,1035,,,,,,,Hypothesis 2,Organizational affective commitment (AC) will be positively related to service quality.,Organizational affective commitment,AC,service quality,,,,,2390,Affective commitment,Organizational affective commitment,Regular,2390,,2393,FALSE,,Positive,,
,,,,,,,,,,,,,,,,,2390,Affective commitment,AC,,2390,,52806,FALSE,,,,
,,,,,,,,,,,,,,,,,2393,Self-presentation,service quality,,,,,,,,,
,,,,,,,,,,,,,,,,,52806,Helping behavior,service quality,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1035,,,,,,,Hypothesis 3a,HiSac will be positively related to service quality.,HiSac,service quality,,,,,,52799,Perceived high sacrifice,HiSac,Regular,52799,,2393,TRUE,0.01,Positive,,
,,,,,,,,,,,,,,,,,2393,Self-presentation,service quality,,52799,,52806,TRUE,,,,
,,,,,,,,,,,,,,,,,52806,Helping behavior,service quality,,,,,,,,,
,1035,,,,,,,Hypothesis 3b,LoAlt will be negatively related to service quality.,LoAlt,service quality,,,,,,52800,Perceived lack of alternatives,LoAlt,Regular,52800,,2393,TRUE,0.05,Negative,,
,,,,,,,,,,,,,,,,,2393,Self-presentation,service quality,,52800,,52806,TRUE,,,,
,,,,,,,,,,,,,,,,,52806,Helping behavior,service quality,,,,,,,,,
,1035,,,,,,,Hypothesis 4,Organizational normative commitment (NC) will be positively related to service quality.,Organizational normative commitment,NC,service quality,,,,,2395,Normative commitment,Organizational normative commitment,Regular,2392,,2393,FALSE,,Positive,,
,,,,,,,,,,,,,,,,,2395,Normative commitment,NC,,2392,,52806,FALSE,,,,
,,,,,,,,,,,,,,,,,2393,Self-presentation,service quality,,,,,,,,,
,,,,,,,,,,,,,,,,,52806,Helping behavior,service quality,,,,,,,,,
,1035,,,,,,,Hypothesis 5a,Affective commitment (AC) to customers will be positively related to service quality.,Affective commitment to customers,AC,service quality,,,,,2394,Affective commitment,Affective commitment to customers,Regular,2394,,2393,TRUE,0.05,Positive,,
,,,,,,,,,,,,,,,,,2394,Affective commitment,AC,,2394,,52806,TRUE,,,,
,,,,,,,,,,,,,,,,,2393,Self-presentation,service quality,,,,,,,,,
,,,,,,,,,,,,,,,,,52806,Helping behavior,service quality,,,,,,,,,
,1035,,,,,,,Hypothesis 5b,Normative commitment (NC) to customers will be positively related to service quality.,Normative commitment to customers,NC,service quality,,,,,2395,Normative commitment,Normative commitment to customers,Regular,2395,,2393,FALSE,,Positive,,
,,,,,,,,,,,,,,,,,2395,Normative commitment,NC,,2395,,52806,FALSE,,,,
,,,,,,,,,,,,,,,,,2393,Self-presentation,service quality,,,,,,,,,
,,,,,,,,,,,,,,,,,52806,Helping behavior,service quality,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1035,,,,,,,Hypothesis 5c,Continuance commitment (CC) to customers will be unrelated to service quality.,Continuance commitment to customers,CC,service quality,,,,,2391,Continuance commitment,Continuance commitment to customers,Regular,2391,,2393,TRUE,0.05,No effect,,
,,,,,,,,,,,,,,,,,2391,Continuance commitment,CC,,2391,,52806,TRUE,,,,
,,,,,,,,,,,,,,,,,2393,Self-presentation,service quality,,,,,,,,,
,,,,,,,,,,,,,,,,,52806,Helping behavior,service quality,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1036,,,Lauren K.,Jocelyn,Jocelyn,,Hypothesis 1a,The strength of the positive effective relationship that X shares with Y will be positively related to the extent to which X helps Y.,strength of the positive effective relationship that X shares with Y,extent to which X helps Y,,,,,,2402,Dyadic positive affective relationships,strength of the positive effective relationship that X shares with Y,Regular,2402,,2399,TRUE,0.05,positive,,
,1036,,,,,,,,,,,,,,,,2399,Interpersonal helping,extent to which X helps Y,,,,,,,,,
,1036,,,,,,,Hypothesis 1b,The strength of the positive effective relationship that X shares with Y will be negatively related to the extent to which X harms Y.,strength of the positive effective relationship that X shares with Y,extent to which X harms Y,,,,,,2402,Dyadic positive affective relationships,strength of the positive effective relationship that X shares with Y,Regular,2402,,2400,False,,Negative,,
,1036,,,,,,,,,,,,,,,,2400,Interpersonal harming,extent to which X harms Y,,,,,,,,,
